GRUPO,APLICATIVO,CODIGO_APP,UNIDAD DE NEGOCIO,GRUPO EMPRESA,N ROLES USUARIOS,TOTAL MODULO,FUNCIONALIDADES TOTAL,FUNCIONALIDADES OPERATIVAS,FUNCIONALIDADES NO OPERATIVA,TOTAL PANTALLAS,PANTALLAS REVISADAS,PANTALLAS PENDIENTES,% AVANCE,ACCIONES LECTURA,ACCIONES LECTURA Y ESCRITURA,HALLAZGOS LEGACY,ESTADO
Público General Chile,FarmaCode,FACO,Por confirmar,DuocUC,2,6,8,8,0,8,8,0,0%,1,7,8,Por Confirmar

--- DETALLE POR MODULO ---

GRUPO,APLICATIVO,CODIGO_APP,UNIDAD DE NEGOCIO,GRUPO EMPRESA,N ROLES USUARIOS,MODULO,FUNCIONALIDADES TOTAL,FUNCIONALIDADES OPERATIVAS,FUNCIONALIDADES NO OPERATIVA,TOTAL PANTALLAS,PANTALLAS REVISADAS,PANTALLAS PENDIENTES,% AVANCE,ACCIONES LECTURA,ACCIONES LECTURA Y ESCRITURA,HALLAZGOS LEGACY,ESTADO
Público General Chile,FarmaCode,FACO,Por confirmar,DuocUC,2,Autenticación,2,2,0,2,2,0,0%,0,2,2,Por Confirmar
Público General Chile,FarmaCode,FACO,Por confirmar,DuocUC,2,Catálogo de Medicamentos,1,1,0,1,1,0,0%,0,1,0,Por Confirmar
Público General Chile,FarmaCode,FACO,Por confirmar,DuocUC,2,Escáner OCR,1,1,0,1,1,0,0%,0,1,4,Por Confirmar
Público General Chile,FarmaCode,FACO,Por confirmar,DuocUC,2,Asistente IA,1,1,0,1,1,0,0%,0,1,0,Por Confirmar
Público General Chile,FarmaCode,FACO,Por confirmar,DuocUC,2,Ayuda,1,1,0,1,1,0,0%,1,0,1,Por Confirmar
Público General Chile,FarmaCode,FACO,Por confirmar,DuocUC,2,Perfil y Configuración,2,2,0,2,2,0,0%,0,2,1,Por Confirmar
