ID,MODULO,PANTALLA,Categoria,Tipo,Descripcion,Detalle Tecnico,Estado,Fuente,Observacion
FACO-RN-001,Autenticación,Pantalla de Inicio de Sesión,Regla de Negocio,Validacion,El correo electrónico es obligatorio y debe tener formato válido antes de intentar el login,"Validacion: state.email.isBlank() y android.util.Patterns.EMAIL_ADDRESS.matcher(state.email).matches(). Mensajes: Completa todos los campos / Email inválido.",Activo,Codigo,Aplicada en LoginViewModel.onLoginClick()
FACO-RN-002,Autenticación,Pantalla de Inicio de Sesión,Regla de Negocio,Seguridad,Las credenciales se verifican contra Room local sin hash de contraseña,"Comparación: user.password == state.password (texto plano). Sin hash ni cifrado.",Activo,Codigo,Riesgo de seguridad: contraseñas en texto plano. Ver FACO-LEG-005.
FACO-RN-003,Autenticación,Pantalla de Registro de Usuario,Regla de Negocio,Validacion,Todos los campos del formulario son obligatorios: nombre - correo - contraseña - confirmación,"state.name.isBlank() || state.email.isBlank() || state.password.isBlank() || state.confirmPassword.isBlank(). Mensaje: Debes completar todos los campos...",Activo,Codigo,Aplicada en RegisterViewModel.onRegisterClick()
FACO-RN-004,Autenticación,Pantalla de Registro de Usuario,Regla de Negocio,Validacion,La contraseña debe tener al menos 6 caracteres,"Validacion: state.password.length < 6. Mensaje: La contraseña debe contener al menos 6 caracteres.",Activo,Codigo,
FACO-RN-005,Autenticación,Pantalla de Registro de Usuario,Regla de Negocio,Validacion,La contraseña y la confirmación deben ser idénticas,"Validacion: state.password != state.confirmPassword. Mensaje: Las contraseñas no coinciden.",Activo,Codigo,
FACO-RN-006,Autenticación,Pantalla de Registro de Usuario,Regla de Negocio,Validacion,No se puede registrar un correo que ya existe en la base de datos local,"Consulta previa: userRepository.getUserByEmail(email). Si existingUser != null → error: El usuario ya existe.",Activo,Codigo,
FACO-RN-007,Escáner OCR,Pantalla de Fotografiar Envase,Regla de Negocio,Comportamiento,Un texto OCR se considera insuficiente y activa el fallback a análisis de imagen si cumple alguna condición,"Condicion en BusquedaService.esOcrInsuficiente(): (1) texto en blanco, (2) menos de 15 letras, (3) ratio letras/longitud < 40%, (4) menos de 2 palabras con ≥4 letras consecutivas.",Activo,Codigo,Cuando OCR insuficiente Y hay imagen Base64 disponible el backend usa GeminiApiService.extraerInformacionDeImagen()
FACO-RN-008,Escáner OCR,Pantalla de Fotografiar Envase,Regla de Negocio,Comportamiento,Si el objeto fotografiado no es un medicamento se muestra mensaje específico,"Código de respuesta: principioActivo == NO_ES_MEDICAMENTO. Mensaje: Esto no parece ser un medicamento. Apunta al envase de un medicamento.",Activo,Codigo,Tanto ScannerViewModel (frontend) como BusquedaService (backend) manejan esta condición
FACO-RN-009,Escáner OCR,Pantalla de Fotografiar Envase,Regla de Negocio,Comportamiento,Si la imagen no es legible Gemini no extrajo datos útiles y se orienta al usuario,"Código de respuesta: principioActivo == IMAGEN_ILEGIBLE. Mensaje: La imagen no es legible. Intenta con mejor iluminación o enfoca el envase.",Activo,Codigo,
FACO-RN-010,Escáner OCR,Pantalla de Fotografiar Envase,Regla de Negocio,Comportamiento,Cada escaneo exitoso se guarda automáticamente en el historial local del dispositivo,"ScannerViewModel.saveHistory(medication) → repository.saveScanHistory(ScanHistory(...)). Limite: últimos 10 registros en tabla scan_history de Room.",Activo,Codigo + As-Is,El límite de 10 está en ScanHistoryDao (inferido del As-Is).
FACO-RN-011,Catálogo de Medicamentos,Pantalla de Inicio y Búsqueda,Regla de Negocio,Comportamiento,Los resultados de bioequivalentes se ordenan por precio ascendente (menor a mayor),"Comparator sobre dto.precioActual(). Medicamentos sin precio vigente (null) van al final usando BigDecimal.valueOf(Long.MAX_VALUE).",Activo,Codigo,Aplicado en BusquedaService.ejecutarBusqueda() y buscarPorOcr()
FACO-RN-012,Catálogo de Medicamentos,Pantalla de Inicio y Búsqueda,Regla de Negocio,Comportamiento,Si el medicamento buscado existe exactamente en BD aparece primero en la lista de resultados,"Ordenamiento compuesto: primero el medicamento con id == foundId (prioridad 0) luego por precio ascendente (prioridad 1).",Activo,Codigo,Aplicado en BusquedaService.ejecutarBusqueda()
FACO-RN-013,Escáner OCR,Pantalla de Fotografiar Envase,Regla de Negocio,Comportamiento,El texto OCR con mayúsculas dominantes (>75% del texto en mayúsculas) se normaliza a Title Case antes de mostrarse,"Función String.toDisplayCase() en ScannerViewModel: cuenta letras mayúsculas; si ratio > 0.75 convierte cada palabra a capitalización de título.",Activo,Codigo,Aplicada sobre campos nombre - principioActivo - laboratorio del resultado
FACO-RN-014,Perfil y Configuración,Pantalla de Perfil de Usuario,Regla de Negocio,Comportamiento,Al cerrar sesión se eliminan todas las pantallas del back-stack y el usuario no puede volver con el botón atrás,"navController.navigate(Screen.Login.route) { popUpTo(0) { inclusive = true } } — limpia la pila completa de navegación.",Activo,Codigo,
FACO-RN-015,Asistente IA,Pantalla de Chat Farmacéutico,Regla de Negocio,Comportamiento,El asistente responde únicamente por reglas de palabras clave predefinidas sin IA generativa externa,"Keywords monitoreadas: alternativa - genérico - hola - buenos - saludos - isp - certificación - buscar - busca - encuentra - dime - muéstrame - cual - que es. Cualquier otra consulta recibe respuesta genérica.",Activo,Codigo,No hay integración con Gemini ni con el backend desde la pantalla de Chat
FACO-INT-001,Escáner OCR,Pantalla de Fotografiar Envase,Integracion,API REST,El backend consulta Gemini para identificar el principio activo desde el nombre comercial cuando el medicamento no está en BD,"Endpoint: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent. Auth: Bearer GEMINI_API_KEY (env var). thinkingBudget: 0. Invocado por GeminiApiService.identificarPrincipioActivo(nombreComercial).",Activo,Codigo,Fallback cuando el medicamento no se encuentra en MySQL por nombre exacto
FACO-INT-002,Escáner OCR,Pantalla de Fotografiar Envase,Integracion,API REST,El backend usa Gemini para extraer información estructurada del medicamento desde texto OCR,"Mismo endpoint Gemini. Invocado por GeminiApiService.extraerInformacionDeOcr(textoOcr). Retorna InfoMedicamento con: nombreComercial - principioActivo - dosis - presentacion - laboratorio - paisOrigen - viaAdministracion - descripcionGeneral.",Activo,Codigo,Activado cuando el texto OCR es suficiente y el medicamento no se encontró directamente en BD
FACO-INT-003,Escáner OCR,Pantalla de Fotografiar Envase,Integracion,API REST,El backend usa Gemini Vision para analizar la imagen completa cuando el texto OCR es insuficiente,"Mismo endpoint Gemini con imagen Base64 en el payload. Invocado por GeminiApiService.extraerInformacionDeImagen(imagenBase64). Imagen comprimida a máx 1024px / JPEG 75% antes del envío.",Activo,Codigo,Se activa cuando el texto OCR no supera el umbral de calidad (FACO-RN-007)
FACO-INT-004,Escáner OCR,Pantalla de Fotografiar Envase,Integracion,API REST,El frontend Android se comunica con el backend Railway vía Retrofit + OkHttp con autenticación por API Key,"Base URL: https://farmacode-production-c60c.up.railway.app/. Header: X-Api-Key: farmacode-secret-2026 (hardcoded en RetrofitClient.kt). Timeouts: connect 30s - read 60s - write 30s. Endpoint activo: POST /api/busqueda/ocr.",Activo,Codigo,API Key hardcodeada en APK — riesgo de seguridad. Ver FACO-LEG-006.
